"QUAL1" "QUAL2" "QUAL3" "QUAL4" "QUAL5" "QUAL6" "QUAL7" "QUAL8" "QUAL9" "VALU1" "VALU2" "SATI1" "SATI2" "SATI3" "LOYA1" "LOYA3"
8 8 8 7 8 8 8 9 7 6 7 8 8 7 10 8
10 9 9 8 10 10 9 10 10 9 9 9 10 8 9 9
8 9 8 8 9 8 8 8.12 9 8 9 8 9 8 9 9
8 8 10 8 8 8 9 10 7 7 8 8 8 6 9 9
9 8 8 8 10 10 10 9 9 8 8 9 9 9 10 10
7 7 7 6 9 7 8 9 9 6 6 8 10 4 9 9
6 7 6 5 6 6 6 8 8 5 5 7 5 6 3 5
8 7 8 7 8 8 8 8 8 6 6 7 8 7 8 10
7 7.58 7.75 7.5 8.21 8.02 7 8 8 5 5 7 7 5 10.62 8
10 9 9 9 10 9 10 10 9 5.9 6.44 9 9 9 8 9
10 10 10 10 10 10 10 8.12 10 5.9 8 10 10 8 10 10
6 6 6 6 7 4 6 6 8 1 3 5 4 4 5 4
8 8 7 9 8 8 8 6 8 5 6 8 7 7 7 7
8 7 7 7 8 8 7 8.12 8 7 7 7 7 6 9 8
8 8 7 8 9 9 6 9 8.28 5 6 6 8 6.93 9 10
9 8 8 8 9 9 9 9 8 7 7 9 9 7 10 9
7 7 7 8 7 6 6 7 6 6 6 7 7 7 6 8
9 8 8 9 9 9 9 9 9 7 8 8 9 8 8 9
7 7 8 7 8 8 7 8 8 5 7 7 6 7 10 8
7 6 8 7 7 6 6 7 6 3 5 8 5 6 8 8
7 7 9 6 4 7 3 9 8 4 6 5 5 6 2 8
9 9 9 9 9 9 9 10 9 8 9 9 9 8 9 9
10 10 10 10 10 10 10 8.12 10 8 10 10 10 10 10 10
8 8 7 8 6 6 8 9 8 6 6 7 8 7 9 8
9 9 8 8 9 8 5 7 8 7 6 8 7 7 9 9
8 8 8 8 10 8 10 9 10 7 7 8 8 6 10 8
8 8 8 6 9 8 7 6 8 6 6 9 7 6 9 9
7 7 8 8 7 8 8 8 8 6 7 8 7 7 8 8
6 5 8 6 7 8 8 8 5 8 8 6 5 6 7 3
10 10 8 1 10 10 8 8 10 8 10 10 8 10 10 10
6 7.58 7.75 7.5 8 7 8 8.12 7 4 5 8 6 6 9 9
7 7.58 8 7 7 8 8 8.12 8.28 5.9 6.44 7 8 7 9 9
10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
10 10 10 5 10 10 10 8.12 10 5.9 6.44 8 10 6.93 10 10
8 6 8 6 9 8 8 9 8 4 7 6 8 5 9 9
10 10 10 10 10 10 10 10 10 8 9 10 9 9 9 9
8 8 8 6 8 7 8 8 8 7 7 7 7 7 8 8
8 7 8 8 9 9 8 8 7 8 9 8 8 7 10 9
9 5 8 6 9 9 10 8 8 5 5 8 7 8 9 9
7 6 6 7 8 7 8 7 7 7 6 7 6 5 7 7
9 9 9 8 10 9 10 10 10 5.9 6.44 10 9 8 10 10
10 9 9 9 9 9 9 9 9 8 8 9 9 8 9 9
8 8 9 7 9 8 8 8 8 7 8 7 8 7 10 9
8 7 8 6 9 9 7 7 9 6 7 8 8 7 9 9
9 8 8 8 9 10 9 8 5 7 8 8 8 9 9 9
8 7 7 7 8 8 7 8 8 7 7 8 7 7 9 10
7 7.58 7 7 7 8 8 8.12 9 5.9 7 8 9 8 9 9
10 10 10 10 10 10 10 10 10 7 8 10 10 8 9 9
7 7 6 7 6 7 6 7 7 5 6 7 6 5 8 8
7 8 8 8 8 6 8 7 8 9 7 7 7 7 8 8
9 8 8 9 9 8 10 9 9 5 6 8 7 7 9 9
10 7.58 7.75 7.5 10 10 10 8.12 10 10 10 10 8 10 10 10
8 9 9 9 8 10 9 9 9 8 8 9 9 10 10 10
9 10 9 9 10 10 10 8.12 10 8 8 10 8 10 10 10
9 9 9 9 10 9 10 9 10 8 9 9 9 10 9 9
9 7 8 8 9 9 9 9 9 6 7 7 8 8 9 9
9 8 8 8 7 7 7 9 8 4 4 8 6 6 6 5
8 8 8 7.5 7 8 9 7 8 5 5 7 8 8 9 9
9 8 8 8 9 8 9 10 9 7 8 9 8 7 9 9
8 10 10 10 10 10 10 8 10 2 3 8 9 6 9 10
8 8 7 7 6 6 7 7 8 5 5 7 6 5 8 8
8 7 7 7 8 8 8 7 7 5 6 8 8 6 10 8
10 10 8 8 8 9 9 8 8 7 7 8 9 8 9 9
8 8 8 8 6 6 8 7 8 8 8 8 6 8 7 9
9 8 8 8 8 8 9 8.12 8 6 6 9 8 6.93 9 10
8 8 8 8 8 8 8 8 8 4 5 7 8 7 7 8
7 7 8 5 9 9 9 9 8 5 6 8 6 5 8 8
7 8 8 8 9 9 9 9 9 6 8 8 7 8 9 10
10 10 10 10 10 10 10 10 8.28 6 8 8 10 6.93 8 10
10 10 10 10 10 10 10 10 10 5 5 8 8 8 10 10
7 6 7 6 8 8 8 9 8 5 5 7 7 7 9 9
10 10 10 10 10 10 10 10 10 5.9 6.44 10 10 9 10 10
8 8 7 8 8 8 8 9 8 6 7 8 8 7 7 10
10 8 10 8 10 10 10 10 10 10 10 8 10 8 10 8
6 6 6 7 8 7 6 6 7 4 5 8 4 5 5 6
9 8 6 7 8 6 6 6 10 5 5 8 7 5 10 10
7 7 7 7 8 8 8 9 8 4 5 8 7 5 7 8
6 7 6 8 7 7 8 8.12 8 6 5 8 7 6 9 7
10 9 10 9 9 10 10 9 9 4 5 8 9 7 10 8
7 6 7 6 4 7 5 8 5 4 5 7 7 6 9 9
9 8 8 9 10 10 10 8.12 9 8 8 9 9 7 9 9
7 6 8 8 7 6 8 9 9 5 5 6 6 5 8 6
10 10 10 10 10 10 10 10 10 5.9 6.44 10 10 10 9 9
6 5 6 6 8.21 4 8.18 8.12 5 1 4 8 5 4 5 5
8 8 7 7.5 9 8 8 9 9 5 5 8 5 8 9 9
7 6 6 4 8 5 8 8 6 2 4 7 6 4 10 8
8 8 8 8 8 10 8 8.12 7 5 5 7 7 8 10 10
10 8 9 9 10 10 10 10 10 9 9 10 9 10 10 10
10 10 10 7 10 10 6 8.12 10 7 7 10 10 10 10 10
6 7 6 7 7 7 7 7 7 7 7 7 6 7 8 10
3 6 3 7 5 3 5 9 1 3 6.44 5 3 3 2 3
7 7 7 7 8 8 8 8 7 6 7 7 8 8 9 9
7 5 6 6 9 8 7 8.12 9 5 6 7 5 4 6 8
5 6 7 6 7 6 7 7 7 5 5 4 6 5 6 5
8 7 10 7.5 10 10 10 10 10 5 8 10 10 10 9 9
6 7.58 7.75 6 6 6 7 3 7 6 5 7 5 4 6 5
7 7 8 6 8 8 9 9 9 2 3 6 7 2 5 1
7 8 8 8 8 8 8 8 8 7 7 8 7 7 8 9
7 7 7 7 7 8 7 7 8 6 7 8 6 7 10 8
9 10 7 8 9 9 8 8.12 8 4 5 8 9 8 10 10
6 5 5 5 6 5 6 8.12 7 4 6 4 6 3 7 4
10 10 10 10 10 10 10 10 10 8 10 10 10 8 9 9
4 4 3 3 3 1 5 5 3 3 3 4 3 1 1 1
8 9 8 7 8 8 8 7 9 9 8 9 7 7 9 8
7 7 7 7 8 8 8 8.12 7 6 6 7 7 6 7 8
8 9 7.75 8 9 9 8 8 9 2 2 7 7.48 7 8.62 8.47
8 8 8 9 8 8.02 10 9 9 8 7 8 7.48 8 8.62 10
10 8 9 6 10 10 8 7 10 5 6 10 7 6 6 8
8 7 7 7 8 8 7 7 8 5 5 8 8 6 8 7
8 7 8 7 9 8 8 9 7 6 6 8 7 7 8 8
9 10 9 9 9 9 10 9 10 6 9 10 9 9 10 10
8 7 6 7 7 7 7 8 8 7 7 6 7 6 11 8
10 10 10 10 10 10 10 10 10 8 8 10 10 10 9 9
10 10 10 10 10 10 8 10 10 8 8 10 9 9 9 8
8 8 8 8 10 10 10 9 7 5 10 6 10 10 10 10
6 5 5 7 6 7 7 6 6 5 6 7 6 6 9 9
10 9 10 9 10 10 9 10 10 8 9 10 10 8 9 9
8 7 8 8 10 9 5 8 8 10 8 8 8 7 9 9
9 8 9 9 9 9 9 9 9 6 8 8 8 7 9 9
8 6 8 6 10 8 8 8.12 6 8 6 8 6 9 9 9
10 8 10 10 10 10 10 8 10 5 8 8 8 8 10 8
9 8 8 8 9 8 8 9 8 6 7 8 8 7 8 10
8 8 8 7 7 7 7 5 7 5 4 7 3 8 9 9
8 8 6 7 7 7 7 8 6 7 7 7 7 7 8 9
10 10 10 10 10 10 9 8.12 10 5 6.44 8 8 10 10 8
9 9 8 8 8 8 9 9 9 6 6 8 8 8 10 8
8 8 7 8 7 7 8 7 9 6 6 7 8 7 7 9
7 8 7 8 8 7 8 8 8 8 8 8 7 7 10 8
10 10 10 7.5 10 10 10 10 10 5.9 6.44 10 9 10 9 9
7 6 7 7 4 7 7 7 7 7 6 7 7 7 6 5
9 7 9 8 9 9 9 9 8 3 6 9 6 8 9 9
10 10 8 8 10 6 10 8 10 6 8 8 7 8 9 9
10 7 10 10 10 10 10 8.12 7 7 7 10 6 10 10 8
8 6 7.75 7.5 10 10 10 8.12 9 5 5 7 8 7 8 10
9 9 7 9 8 7 8 9 9 7 7 8 8 6 10 9
9 7 7 7 9 7 9 8.12 9 8 8 10 8 7 10 9
8.02 7.58 7.75 7.5 8 7 8 8.12 8 5 6 7 7 7 5 9.47
10 8 10 10 9 10 10 10 10 7 8 8 7 8 10 8
9 8 9 8 9 8 9 9 9 5.9 8 9 8 7 10 9
8 7 6 8 7 7 8.18 8 8 5 5 8 6 6 10 9
8 8 9 8 8 8 9 8 8 4 6 7 8 8 5 8
8 8 7 8 8 8 8 8 7 8 7 8 8 7 9 8
10 7.58 10 10 10 10 10 8.12 10 10 10 10 10 8 9 9
9 9 9 9 9 9 9 8 8 8 8 10 8 8 10 10
8 6 6 6 10 8 10 10 10 8 8 6 8 8 10 10
6 5 6 7 9 6 9 7 9 1 1 6 4 2 3 1
8 7 6 6 8 8 7 7 7 5 5 7 7 6 10 10
9 8 7 8 9 9 9 9 9 9 8 8 10 8 10 10
9 8 9 7 10 9 10 10 9 6 8 8 8 7 8.62 8
8 3 8 3 8.21 7 8 9 6 4 5 5 6 3 7 7
8 7.58 8 8 8 8 9 8.12 9 9 9 9 9 7 9 9
8 8 8 8 10 10 8 8 8 8 8 8 8 8 8 10
6 7 7 7 5 5 6 7 7 3 4 7 5 3 3 4
8 7 8 8 10 8 9 8 9 5 6 7 6 7 10 8
10 9 10 9 10 10 9 8.12 10 8 8 9 9 7 7 10
10 10 10 10 10 10 10 10 10 7 8 10 10 8 9 9
10 10 10 10 10 10 10 10 10 10 10 10 10 10 9 9
7 8 7 8 8 8 8 8.12 8 8 7 8 8 6 8 10
8 6 7 7 7 7 7 7 8 5 6 8 7 8 8 8
10 10 10 7.5 10 10 10 10 10 10 8 10 10 10 7.62 8.62
3 3 8 3 8 8 7 7 8 1 3 4 2 3 1 1
8 9 10 8 9 7 9 10 9 7 9 8 8 2 8 2
8 7 7 7 7 8 9 8 9 7 8 8 8 7 10 8
7 7 8 7.5 8 6 6 8 8.28 6 6 7 7 7 9 7
7 6 8 7 8 8 8 6 8 6 7 8 7 7 8 9
10 10 8 10 10 10 8 8 8 8 8 8 8 8 10 8
7 7 7 7 8 8 8 8 8 7 7 7 8 7 6 8
10 9 9 9 10 10 10 9 10 9 9 8 10 10 9 9
10 10 10 10 10 10 9 10 10 9 9 10 10 10 10 10
8 8 8 8 8 8 8 8.12 8 6 7 6 6 7 7 7
7 8 9 7 5 6 6 6 7 6 6 7 6 5 7 6
